;id;name;price;descr_short;descr_full;imagen;brand;features
0;lbt_1;Boon Oude Kriek 37,5cl;7.15;Lambic / Kriek;Cerveza de fermentación espontánea (Lambic) de 6.5% ABV sin filtrar ni pasteurizar de estilo Kriek, elaborada con cerezas naturales.;https://www.labirratorium.com/19351-large_default/boon-kriek-2013.jpg;Brouwerij F. Boon;{'Estilo': 'KRIEK', 'Origen': 'Bélgica', '% Alc.': '6.5\nALTO (6-9%)', 'Otros ingredientes': 'Cerezas Naturales', 'Volumen (cl)': '37.5 Cl', 'Tipo Fermentación': 'Lambic (Fermentación espontánea o salvaje)', 'Maltas': 'Cebada y Trigo', 'IBU': '0-25 Amargor bajo', 'Color': 'Rojiza', 'Envase': 'Botella'}
1;lbt_2;Störtebeker Schwarz-Bier;2.4;Cerveza negra de baja fermentación ;Cerveza negra de baja fermentación de estilo Schwarzbier de 5% ABV.;https://www.labirratorium.com/488-large_default/stortebeker-schwarz-bier.jpg;Störtebeker;{'Estilo': 'SCHWARZBIER', 'Origen': 'Alemania', '% Alc.': '5\nMEDIO (4-6%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Negro', 'Envase': 'Botella'}
2;lbt_3;Orval;2.8;Belgian Pale Ale;Orval es una cerveza tipo ale y es la que principalmente se elabora, aunque no es la única. Con 6.2% ABV.​ Se elaboró por primera vez en 1931 y se distingue del resto de cervezas trapistas por su complejo e inusual sabor y aroma producido por una cepa de levadura única: Brettanomyces lambicus. ;https://www.labirratorium.com/385-large_default/orval.jpg;Orval;{'Estilo': 'BELGIAN PALE ALE', 'Origen': 'Bélgica', '% Alc.': '6.2\nALTO (6-9%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'IBU': '25-50 Amargor medio\n36', 'Color': 'Amarillo pálido', 'Envase': 'Botella'}
3;lbt_4;Augustiner Lagerbier Hell;2.5;Lager / Helles;Cerveza de baja fermentación de estilo Munich Helles de 5.2% ABV,. De color amarillo pajizo, con aromas a malta y cereales. Sabor con toques amargos pero suaves propios de su estilo. ;https://www.labirratorium.com/367-large_default/augustiner-lagerbier-hell.jpg;Augustiner;{'Estilo': 'MUNICH HELLES', 'Origen': 'Alemania', '% Alc.': '5.2\nMEDIO (4-6%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo\n12', 'Color': 'Amarillo pálido', 'Envase': 'Botella'}
4;lbt_5;Schneider Aventinus Weizen-Eisbock;2.7;Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada. ;Cerveza de color medio oscuro, aromas alcohólico, toques dulces y alicorados. Sabor dulzón, frutos secos y algo afrutada. ;https://www.labirratorium.com/366-large_default/schneider-eisbock.jpg;Schneider;{'Origen': 'Alemania', '% Alc.': '12', 'Volumen (cl)': '33', 'Tipo Fermentación': 'Lager (Baja Fermentación)', 'IBU': '0-25 Amargor bajo'}
5;lbt_6;Aecht Schlenkerla Rauchbier Weizen;2.5;;Rauchbier (cerveza ahumada) de trigo con 5.2% ABV, de aspecto turbio y sin filtrar. Elaborada con una mezcla de malta de cebada ahumada y malta de trigo sin ahumar. ;https://www.labirratorium.com/364-large_default/schlenkerla-rauchbier-weizen.jpg;Brauerei Heller;{'Estilo': 'RAUCHBIER', 'Origen': 'Alemania', '% Alc.': '5.2\nMEDIO (4-6%)', 'Volumen (cl)': '50 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Trigo  y Cebada', 'IBU': '0-25 Amargor bajo\n20', 'Color': 'Marrón', 'Envase': 'Botella'}
6;lbt_7;Samuel Adams Boston Lager;2.4;Cerveza de baja fermentación (Lager) de color ambarino y suave.;Apariencia: color ambarino cobrizo y espuma persistente y cremosa;https://www.labirratorium.com/343-large_default/samuel-adams-boston-lager.jpg;Samuel Adams;{'Estilo': 'AMERICAN LAGER', 'Origen': 'EEUU', '% Alc.': '4.8\nMEDIO (4-6%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Samuel Adams lager', 'Maltas': 'Samuel Adams two-row pale malt blend y Caramel 60', 'Lúpulos': 'Hallertau Mittelfrueh y Tettnang Tettnanger Noble hops', 'IBU': '25-50 Amargor medio\n30', 'Color': 'Ámbar', 'Envase': 'Botella'}
7;lbt_8;Laugar EPA! Euskadiko Pale Ale;2.65;American Pale Ale;American Pale Ale de 5.2% ABV elaborada con lúpulos Cascade, Chinook y Columbus.;https://www.labirratorium.com/11103-large_default/laugar-epa.jpg;Laugar;{'Estilo': 'APA (AMERICAN PALE ALE)', 'Origen': 'Bizkaia', '% Alc.': '5.4\nMEDIO (4-6%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Pils y caramunich II', 'Lúpulos': 'Cascade, Chinook y Columbus', 'IBU': '25-50 Amargor medio\n40', 'Color': 'Amarillo dorado', 'Envase': 'Botella'}
8;lbt_9;Westmalle Dubbel;2.3;Dubbel;Cerveza Trapista belga con 7% ABV de color marrón oscuro, aromas dulces y maltosos, cremosa y alcohólica. Sabor ligeramente dulzón y retrogusto alcohólico.;https://www.labirratorium.com/102-large_default/westmalle-dubbel.jpg;Van Westmalle;{'Estilo': 'DUBBEL', 'Origen': 'Bélgica', '% Alc.': '7\nALTO (6-9%)', 'Volumen (cl)': '33 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo\n24\n25-50 Amargor medio', 'Color': 'Marrón', 'Envase': 'Botella'}
9;lbt_10;Duchesse De Bourgogne;2.95;Oud Bruin/ Flanders Red Ale;Cerveza belga de estilo Ale Roja de 6.2% ABV de marcado carácter ácido y dulce.;https://www.labirratorium.com/12300-large_default/duchesse-de-bourgogne.jpg;Verhaeghe;{'Estilo': 'FLANDERS RED ALE\nOUD BRUIN\nOud Bruin / Franders Red Ale', 'Origen': 'Bélgica', '% Alc.': '6.2\nALTO (6-9%)', 'Volumen (cl)': '25 Cl', 'Tipo Fermentación': 'Ale (Alta Fermentación)', 'Maltas': 'Cebada', 'IBU': '0-25 Amargor bajo', 'Color': 'Ámbar', 'Envase': 'Botella'}
